,LBC Inventory List（04/09/2026）,,,,,,,
,Material,Leoch Part Number,Sto.Loction,Qty.Avail,,,,
,10010101521,LP12-4.5(1.6KG),Dallas,34.00,,,,
,10010102880,LPX12-7FR(T2),TX AGED,122.00,,,,
,10010102881,XP12-150FR(T6),Califonia,4.00,,,,
,10010103687,LPX12-9FR(T2),CA AGED,2.00,,,,
,10010103791,LPL12-18(T3),Califonia,90.00,,,,
,10010103791,LPL12-18(T3),Dallas,416.00,,,,
,10010103891,LPX12-5.4FR(T2),CA AGED,174.00,,,,
,10010104573,LP12-12(T2),Dallas,"1,133.00",,,,
,10010106623,LP12-18(T3),Dallas,348.00,,,,
,10010106757,LP12-35(T5),Dallas,7.00,,,,
,10010108157,LP12-1.2(T1),CA AGED,198.00,,,,
,10010108768,LPL12-12(T2),Dallas,46.00,,,,
,10010108779,LP6-4.5(T1),Califonia,300.00,,,,
,10010108779,LP6-4.5(T1),Dallas,9.00,,,,
,10010109606,LP12-7.2(T1),CA AGED,25.00,,,,
,10010109606,LP12-7.2(T1),Dallas,"2,469.00",,,,
,10010130820,LPX12-5.4FR(T2),Califonia,"1,100.00",,,,
,10010130821,LPX12-5.4FR(T2),CA AGED,15.00,,,,
,10020100857,LP6-200H(T11),Califonia,71.00,,,,
,10020100857,LP6-200H(T11),Dallas,86.00,,,,
,10020100902,LPL12-150FR(T11),Califonia,12.00,,,,
,10020100902,LPL12-150FR(T11),CA AGED,24.00,,,,
,10020102538,XP12-540FR(T8),Califonia,47.00,,,,
,10020102750,LPL12-75(T6),Califonia,83.00,,,,
,10020103943,LPL12-75(T14),CA AGED,8.00,,,,
,10020106704,XP12-300FR(T6),Califonia,7.00,,,,
,10020106704,XP12-300FR(T6),Dallas,208.00,,,,
,10020106705,XP12-350FR,TX AGED,6.00,,,,
,10020106705,XP12-350FR(T6),Califonia,96.00,,,,
,10020106705,XP12-350FR(T6),CA AGED,6.00,,,,
,10020106705,XP12-350FR(T6),Dallas,255.00,,,,
,10020106782,XP12-210FR(T6),Califonia,180.00,,,,
